DON_ID,DONOR_FIRST_NAME,DONOR_LAST_NAME,DONATION_DATE,DONATION_AMOUNT,ADDRESS_ID,VOLUNTEER_ID
1,Elijah,Anderson,2023-04-28,26.9,102,4
2,Ethan,Hernandez,2023-08-05,822.4,229,5
3,Elijah,Williams,2024-07-21,932.5,105,1
4,Harper,Johnson,2024-04-22,176.1,102,3
5,Benjamin,Davis,2024-09-17,727.4,105,3
6,Noah,Jackson,2024-09-30,192.7,248,
7,Charlotte,Smith,2023-10-31,136,103,2
8,Elijah,Thomas,2023-10-12,560.4,101,2
9,Elijah,Jackson,2024-06-22,21.5,104,1
10,Lucas,Gonzalez,2023-05-08,853.3,101,4
11,Logan,Taylor,2023-10-26,424,101,1
12,Mia,Martinez,2023-11-24,972,104,4
13,Sophia,Martin,2024-06-01,855.9,102,3
14,Harper,Moore,2024-11-18,780.7,101,4
15,Amelia,Martinez,2024-10-20,734.7,104,2
16,Benjamin,Thomas,2023-12-13,343.6,104,3
17,Olivia,Garcia,2023-01-03,991.1,298,
18,Lucas,Miller,2024-05-18,161.4,103,2
19,Elijah,Smith,2023-04-30,948,101,1
20,Noah,Smith,2024-12-05,158.3,250,
